"days"
8
25
9
17
14
10
19
38
25
24
37
14
19
25
4
23
27
8
19
15
38
25
7
12
17
11
11
16
13
14
23
1
13
2
7
18
9
3
1
22
24
20
4
10
16
17
3
20
2
9
12
9
6
14
5
15
4
32
17
15
24
23
38
36
36
18
12
12
15
16
8
21
19
30
18
6
10
7
19
12
26
11
6
19
14
22
17
12
1
16
3
15
8
12
9
8
22
27
14
21
8
14
27
14
15
14
5
15
14
4
21
32
27
7
18
6
19
6
11
26
16
14
10
26
33
2
14
7
36
8
30
14
15
3
19
18
17
16
18
5
15
11
14
8
40
22
19
7
14
13
2
14
3
22
12
16
7
22
12
39
20
9
27
5
11
18
33
39
28
13
11
24
10
15
17
17
25
13
14
1
23
14
15
7
9
24
10
2
10
16
8
11
10
11
22
7
14
13
9
20
24
7
11
17
20
28
6
26
22
27
12
11
12
10
9
16
30
24
14
11
11
15
6
24
1
18
8
19
23
28
12
2
4
11
3
14
22
24
11
8
3
34
11
10
38
11
20
14
28
21
12
12
10
25
15
3
35
34
25
31
24
4
17
14
17
34
10
8
21
19
21
25
17
5
6
16
13
14
27
19
2
6
10
3
16
14
25
7
13
30
19
27
18
13
13
11
17
23
10
2
10
8
18
15
16
11
7
30
21
19
23
24
10
20
9
13
18
14
3
14
26
15
14
36
17
17
10
19
8
7
10
2
10
1
24
14
20
19
9
22
8
18
8
39
11
12
15
13
28
8
22
23
7
20
19
7
24
10
15
36
17
32
8
24
14
21
29
18
30
11
13
18
35
7
17
14
19
14
21
1
12
22
16
12
17
25
36
24
25
12
28
32
11
8
16
7
19
4
31
18
