"mu","r"
15.6925578608842,3.9453971936069
15.5953272726491,3.64319373541156
15.9925256327022,3.20517317227778
16.4466701180103,4.41587696814046
16.3755388795273,3.87761560959158
16.0000203149712,3.40254489512192
15.3254912974053,2.81607358017764
16.9954533271057,3.31503333088493
15.9791938316981,3.48894603369259
15.2784824314756,3.68562467446472
16.6434057902537,3.8052496617828
15.9868798530941,3.58595477335851
16.1425823036051,3.80910906942987
15.8886518436124,3.94752992633113
15.8758837288549,3.88420366132132
15.9756450882619,3.90543048645649
15.6756396446436,3.52315806197151
16.3377115098875,3.62549226685567
15.3615074652935,3.48678341954003
16.4196716063375,3.64095200406544
16.3233556185038,3.8824182794832
16.4743658369766,4.34659131885872
15.8200898237667,3.50722509023276
16.5444843378264,3.68473421454887
15.9766915243192,3.48581759901403
16.1823504621747,3.79174965836064
16.1924716658787,3.62507396892165
16.1751281991875,3.44022932015551
15.7045718624541,3.53197407178936
15.4913025677527,3.23030787479703
17.2841487792275,3.39113393638219
15.4055740177565,3.54668656324111
15.6757376902782,3.8400689854538
15.855933863515,4.01614834773672
15.9181878177526,4.28329106671847
15.8686156907856,3.30400708447346
16.1790836569601,3.43035612189224
16.6278960045513,3.79607765950358
16.1867013769764,3.36236579933544
16.5173920714814,4.37731405347181
15.6623667130637,3.71822284191164
15.6748988158403,4.01134851230495
15.795071617661,3.51494757300418
15.6032559189757,3.93304522488513
16.0551689976148,3.78251458476113
16.2076290483179,3.83766903817165
15.7387121781167,4.15207288687212
16.5203885540134,3.43234991750608
15.6291163588851,3.56905192318382
15.7833342909196,4.65422566696753
16.302412580138,2.98090398038897
17.2528579571865,3.7862296536813
16.2479834571986,3.65767907125881
15.9647253336398,4.02493449234933
15.5273644710373,3.07268553927544
15.7449540147439,4.79605300966762
15.8327281733617,4.24747342065413
16.220436154025,3.5269992062819
15.8417759237295,3.40246101914128
15.7072676468746,3.49404775065861
17.1552874579806,4.56603744255293
16.3776818279844,4.48008740886429
15.798212717962,3.63939852817603
15.9083082795468,3.9083349825179
15.6751760630237,4.15722601586881
16.4373461541591,3.15599085287929
16.094922793213,3.65122900853233
16.7570887616845,3.48924125735479
15.3482665956807,3.6552501698644
15.2678540970545,4.1895321521721
15.9747500187091,3.81737965634492
16.5104366431043,4.60982523390082
16.3958431498975,3.99750174419536
15.9668996474391,3.98905003653456
15.8235437250449,3.62257425946503
16.102996743795,3.98333761728193
15.6840178065014,4.78653252472108
16.2864373675804,3.69763654979584
16.2404552347143,3.52539945064236
14.6857381760568,3.30985407801518
16.3696532118819,3.64168424483514
15.4140036676723,3.39469978865473
15.9725699035154,3.38134938147116
17.0787573459749,4.12216968141467
16.513171127619,3.46918318890546
16.1836288187284,4.01684807512173
15.3550258571793,3.79624244418243
16.0594460019234,4.19896208749915
