Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Estonia,EST,22404347230.3962
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Eswatini,SWZ,3274434190.23479
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Ethiopia,ETH,83827994049.462
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Faroe Islands,FRO,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Fiji,FJI,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Finland,FIN,202463680954.058
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,France,FRA,1960218156730.71
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,French Polynesia,PYF,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Gabon,GAB,11744403548.9814
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,"Gambia, The",GMB,1377818525.14773
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Georgia,GEO,13969751591.6878
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Germany,DEU,2865709924504.28
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Ghana,GHA,55644409505.7621
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Gibraltar,GIB,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Greece,GRC,153832442858.649
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Greenland,GRL,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Grenada,GRD,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Guam,GUM,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Guatemala,GTM,61489867152.2671
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Guinea,GIN,10785389624.6508
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Guinea-Bissau,GNB,1000515513.38083
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Guyana,GUY,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Haiti,HTI,14768736334.0557
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Honduras,HND,19625896738.647
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,"Hong Kong SAR, China",HKG,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Hungary,HUN,112034114169.233
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Iceland,ISL,15568415009.5254
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,India,IND,2200341428312.59
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Indonesia,IDN,806332206358.32
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,"Iran, Islamic Rep.",IRN,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Iraq,IRQ,117175217290.994
